Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1700.000000,0.007327,12.920902,25.239901,37.126631,49.467010,61.820112,73.594834,85.839650,97.833676,110.033839,122.022767,134.574658,146.627051
1710.000000,0.021504,12.332018,24.043067,35.350051,47.141929,58.831057,70.040142,81.720290,93.246300,104.788137,116.219335,128.146959,139.610302
1720.000000,0.000000,11.857041,23.214647,34.194898,45.687544,56.987768,67.850492,79.050609,90.264272,101.347247,112.506432,123.952090,135.087204
1730.000000,0.000000,11.550601,22.706733,33.422801,44.571206,55.643368,66.295633,77.229586,88.043692,99.046846,109.838142,121.069101,131.968549
1740.000000,0.017643,11.343321,22.122719,32.614068,43.463642,54.303169,64.645828,75.433510,86.041702,96.695328,107.242846,118.286600,128.839278
1750.000000,0.000000,10.944296,21.472761,31.655479,42.195579,52.690529,62.779116,73.203557,83.489873,93.829285,104.050847,114.707852,125.020904
1760.000000,0.007436,10.653080,20.847913,30.762858,41.055687,51.302213,61.091575,71.262687,81.322951,91.412315,101.336898,111.698403,121.701108
1770.000000,0.000000,10.345783,20.391797,30.067295,40.132135,50.172455,59.686991,69.630341,79.432419,89.244003,99.011574,109.101961,118.915392
1780.000000,0.000000,10.119439,19.920116,29.385454,39.247459,48.964947,58.399569,68.156890,77.683712,87.399699,96.905007,106.775863,116.311236
1790.000000,0.000000,9.796995,19.432632,28.688369,38.229003,47.717993,56.970610,66.463171,75.721239,85.124868,94.403097,104.078795,113.451938
1800.000000,0.022497,9.554642,18.846392,27.756311,37.107600,46.344077,55.289083,64.488420,73.428971,82.659849,91.574294,101.122762,109.984773
1810.000000,0.022658,9.234544,18.141436,26.760254,35.848063,44.701836,53.371192,62.119290,70.776285,79.710168,88.449573,97.539129,106.096824
1820.000000,0.000000,8.777387,17.337365,25.530121,34.276316,42.737464,51.130166,59.564328,67.756810,76.476815,84.815619,93.490203,101.695077
1830.000000,0.000000,8.438073,16.563576,24.497744,32.773670,40.912726,48.977070,56.997694,64.909618,73.396186,81.265063,89.641443,97.452971
1840.000000,0.000901,8.066773,15.917182,23.454688,31.474068,39.223043,47.051870,54.780349,62.286497,70.482303,78.075338,86.109951,93.558436
1850.000000,0.000000,7.693028,15.293568,22.413562,30.177929,37.552106,45.018170,52.422029,59.694046,67.573514,74.873118,82.578052,89.714365
